url_path,views_total,views_unique
/google/triggerator,12,5
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app/components/confirmation-dialog.component.ts,4,1
/google/triggerator/tree/main/scripts,3,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app/components/progress-spinner.component.html,2,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app/components/progress-spinner.component.ts,2,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app/rule-editor-dialog.component.html,2,1
/google/triggerator/issues,2,1
/google/triggerator/tree/49236ef11b222c0994a13b09201fc1edfed700cd/frontend,2,1
/google/triggerator/tree/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src,2,1
/google/triggerator/tree/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app,2,1
